#Instrument,Date,Time,Price,Volume,Value,Trans ID,Bid ID,Ask ID,Bid/Ask
BHP,20130205,11:52:10.131,37.220,6138,228456.36,0,6230424149652589014,,B
BHP,20130205,11:52:55.136,37.220,1439,53559.58,0,6230424149652589024,,B
BHP,20130205,11:57:10.048,37.220,528,19652.16,0,6230424149652607885,,B
BHP,20130205,11:57:38.368,37.220,20,744.4,0,6230424149652633864,,B
BHP,20130205,12:09:37.101,37.220,48,1786.56,0,6230424149652725120,,B
BHP,20130205,12:20:00.724,37.220,33,1228.26,0,6230424149652742835,,B
BHP,20130205,12:20:58.538,37.220,170,6327.4,0,6230424149652742835,,B
BHP,20130205,12:43:44.311,37.220,479,17828.38,0,6230424149652742835,,B
BHP,20130205,12:44:32.917,37.220,996,37071.12,0,6230424149652999876,,B
BHP,20130205,12:45:00.541,37.220,15,558.3,0,6230424149652994222,,B
BHP,20130205,12:46:52.103,37.220,990,36847.8,0,6230424149652476560,,B
BHP,20130205,12:47:07.706,37.220,69,2568.18,0,6230424149653027729,,B
BHP,20130205,13:38:48.474,37.220,9,334.98,0,6230424149653383065,,B
BHP,20130205,13:42:12.921,37.220,1430,53224.6,0,6230424149653386029,,B
BHP,20130205,13:42:46.419,37.220,142,5285.24,0,6230424149653441884,,B
BHP,20130205,13:44:17.487,37.220,2,74.44,0,6230424149653447320,,B
BHP,20130205,14:00:28.736,37.220,1,37.22,0,6230424149653520328,,B
BHP,20130205,14:04:17.696,37.220,149,5545.78,0,6230424149653586446,,B
BHP,20130205,14:05:00.599,37.220,528,19652.16,0,6230424149653587027,,B
BHP,20130205,14:07:31.789,37.220,77,2865.94,0,6230424149653592910,,B
BHP,20130205,14:11:15.247,37.220,4,148.88,0,6230424149653629707,,B
BHP,20130205,14:11:21.969,37.220,400,14888,0,6230424149653630859,,B
BHP,20130205,14:25:23.899,37.220,20,744.4,0,6230424149653727644,,B
BHP,20130205,14:26:06.891,37.220,150,5583,0,6230424149653729283,,B
BHP,20130205,14:27:17.256,37.220,82,3052.04,0,6230424149653735922,,B
BHP,20130205,14:30:11.378,37.220,1494,55606.68,0,6230424149653739785,,B
BHP,20130205,14:54:38.242,37.220,28,1042.16,0,6230424149653917569,,B
BHP,20130205,14:55:09.244,37.220,1905,70904.1,0,6230424149653932945,,B
BHP,20130205,14:56:10.302,37.220,79,2940.38,0,6230424149653947500,,B
BHP,20130205,14:56:24.829,37.220,3000,111660,0,6230424149653948675,,B
BHP,20130205,14:56:45.298,37.220,59,2195.98,0,6230424149653950479,,B
BHP,20130205,15:58:20.814,37.220,542,20173.24,0,6230424149654101495,,B
BHP,20130205,15:58:55.375,37.220,65,2419.3,0,6230424149654101495,,B
BHP,20130205,15:58:59.871,37.220,54,2009.88,0,6230424149654101495,,B
BHP,20130205,15:59:03.758,37.220,2186,81362.92,0,6230424149654272495,,B
BHP,20130205,15:59:17.266,37.220,219,8151.18,0,6230424149654481486,,B
BHP,20130205,15:59:17.860,37.220,33,1228.26,0,6230424149654485188,,B
BHP,20130205,15:59:41.623,37.220,34,1265.48,0,6230424149654498440,,B
BHP,20130205,15:59:50.927,37.220,3,111.66,0,6230424149654502573,,B
BHP,20130205,15:59:57.000,37.220,9,334.98,0,6230424149654504273,,B
BHP,20130205,11:49:08.940,37.210,100,3721,0,6228446128233389168,,B
BHP,20130205,11:49:14.387,37.210,1446,53805.66,0,6230424149652307234,,B
BHP,20130205,11:49:21.998,37.210,300,11163,0,6230424149652453043,,B
BHP,20130205,11:50:36.546,37.210,98,3646.58,0,6230424149652577558,,B
BHP,20130205,11:53:48.932,37.210,1211,45061.31,0,6230424149652581179,,B
BHP,20130205,11:57:10.205,37.210,1000,37210,0,6230424149652599207,,B
BHP,20130205,11:58:30.436,37.210,1667,62029.07,0,6230424149652642133,,B
BHP,20130205,11:58:30.521,37.210,245,9116.45,0,6230424149652642256,,B
BHP,20130205,11:58:31.367,37.210,182,6772.22,0,6230424149652642459,,B
BHP,20130205,12:08:57.030,37.210,5,186.05,0,6230424149652717430,,B
BHP,20130205,12:09:44.379,37.210,85,3162.85,0,6230424149652724583,,B
BHP,20130205,12:10:50.544,37.210,186,6921.06,0,6230424149652730847,,B
BHP,20130205,12:11:41.766,37.210,32,1190.72,0,6230424149652737363,,B
BHP,20130205,12:43:44.350,37.210,200,7442,0,6230424149652761180,,B
BHP,20130205,12:48:20.660,37.210,41,1525.61,0,6230424149653033300,,B
BHP,20130205,13:42:12.974,37.210,500,18605,0,6230424149653368102,,B
BHP,20130205,14:07:38.078,37.210,1,37.21,0,6230424149653606432,,B
BHP,20130205,14:07:40.157,37.210,143,5321.03,0,6230424149653607956,,B
BHP,20130205,14:11:15.173,37.210,2,74.42,0,6230424149653629573,,B
BHP,20130205,14:11:31.930,37.210,452,16818.92,0,6230424149653631910,,B
BHP,20130205,14:13:44.875,37.210,20,744.2,0,6230424149653643587,,B
BHP,20130205,14:17:48.345,37.210,35,1302.35,0,6230424149653676315,,B
BHP,20130205,14:30:32.289,37.210,616,22921.36,0,6230424149653736801,,B
BHP,20130205,14:32:50.446,37.210,200,7442,0,6230424149653780505,,B
