#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
BHP,20130205,15:29:16.369,ENTER,37.300,100,,3729.9999999999995,,,28592,28593,B,,,,150,270
BHP,20130205,15:29:21.116,ENTER,37.310,100,,3731.0,,,28598,28599,B,,,,941,366
BHP,20130205,15:29:21.116,ENTER,37.310,100,,3731.0,,,28602,28603,A,,,,941,231
BHP,20130205,15:29:28.142,ENTER,37.300,100,,3729.9999999999995,,,28614,28615,B,,,,297,179
BHP,20130205,15:29:31.835,ENTER,37.300,100,,3729.9999999999995,,,28616,28617,A,,,,297,233
BHP,20130205,15:29:37.320,ENTER,37.300,100,,3729.9999999999995,,,28618,28619,A,,,,297,299
BHP,20130205,15:29:37.320,ENTER,37.300,100,,3729.9999999999995,,,28620,28621,B,,,,140,299
BHP,20130205,15:29:41.654,ENTER,37.310,100,,3731.0,,,28664,28665,B,,,,229,210
BHP,20130205,15:29:41.654,ENTER,37.310,100,,3731.0,,,28668,28669,A,,,,229,210
BHP,20130205,15:29:45.007,ENTER,37.320,100,,3732.0,,,28672,28673,B,,,,140,150
BHP,20130205,15:29:45.014,ENTER,37.320,100,,3732.0,,,28676,28677,A,,,,140,210
BHP,20130205,15:29:46.398,ENTER,37.310,100,,3731.0,,,28682,28683,A,,,,150,299
BHP,20130205,15:29:46.398,ENTER,37.310,100,,3731.0,,,28686,28687,B,,,,150,299
BHP,20130205,15:30:16.092,ENTER,37.300,100,,3729.9999999999995,XT,,28694,28695,A,,,,299,299
BHP,20130205,15:30:16.093,ENTER,37.300,100,,3729.9999999999995,,,28698,28699,B,,,,297,203
BHP,20130205,15:30:16.140,ENTER,37.290,100,,3729.0,,,28724,28725,A,,,,297,270
BHP,20130205,15:30:16.140,ENTER,37.290,100,,3729.0,,,28728,28729,B,,,,110,270
BHP,20130205,15:30:16.549,ENTER,37.290,100,,3729.0,,,28740,28741,B,,,,297,203
